==============================================================
  NetSupport RAT Infrastructure Hunter — 2026-05-15
==============================================================

📊 GESAMT AKTIVE HOSTS: 1039

🔴 NEU HEUTE (7)
   91.196.32.122      AS207957   Germany, Frankfurt           (seit 2026-03-20)
   91.196.34.79       AS207957   Germany, Frankfurt           (seit 2026-05-10)
   45.129.96.219      AS208440   GmhostGrupp OU               (seit 2026-03-10)
   45.129.96.162      AS208440   GmhostGrupp OU               (seit 2026-03-10)
   45.129.96.144      AS208440   GmhostGrupp OU               (seit 2026-03-10)
   45.129.98.48       AS201094   GmhostGrupp OU               (seit 2026-03-10)
   45.129.96.216      AS208440   GmhostGrupp OU               (seit 2026-03-10)
   45.129.97.150      AS201094   GmhostGrupp OU               (seit 2026-03-10)
   5.154.181.206      AS44066    GmhostGrupp OU               (seit 2026-03-12)
   5.154.181.205      AS44066    GmhostGrupp OU               (seit 2026-03-14)
   45.129.96.236      AS208440   GmhostGrupp OU               (seit 2026-03-14)
   45.129.96.17       AS208440   GmhostGrupp OU               (seit 2026-03-18)
   5.154.181.222      AS44066    GmhostGrupp OU               (seit 2026-03-24)
   45.129.96.242      AS208440   GmhostGrupp OU               (seit 2026-03-25)
   45.129.96.158      AS208440   GmhostGrupp OU               (seit 2026-03-28)
   45.129.97.57       AS201094   GmhostGrupp OU               (seit 2026-03-31)
   45.129.98.16       AS201094   GmhostGrupp OU               (seit 2026-04-07)
   5.154.181.158      AS44066    GmhostGrupp OU               (seit 2026-04-11)
   5.154.181.5        AS44066    GmhostGrupp OU               (seit 2026-05-10)
   185.234.114.250    AS211971   Goodhost.KZ                  (seit 2026-03-10)
   185.234.114.84     AS211971   Goodhost.KZ                  (seit 2026-03-20)
   185.91.126.52      AS211971   Goodhost.KZ                  (seit 2026-05-10)
   185.91.126.47      AS211971   Goodhost.KZ                  (seit 2026-05-11)
   45.90.58.125       AS204957   Green Floid LLC              (seit 2026-03-10)
   195.123.240.101    AS204957   Green Floid LLC              (seit 2026-03-10)
   195.123.244.23     AS204957   Green Floid LLC              (seit 2026-03-10)
   82.117.254.226     AS204957   Green Floid LLC              (seit 2026-03-13)
   5.34.176.160       AS204957   Green Floid LLC              (seit 2026-03-13)
   195.123.210.122    AS50979    Green Floid LLC              (seit 2026-03-14)
   195.123.241.81     AS204957   Green Floid LLC              (seit 2026-05-10)
   85.192.49.91       AS215730   H2.NEXUS Helsinki Network    (seit 2026-03-10)
   45.144.52.133      AS215730   H2.NEXUS Helsinki Network    (seit 2026-03-12)
